Font: Noto Sans JP  Style: Thin
Point Size: 64   SP/PD Ratio: 7.8%

Characters included: 3761/7151
Missing characters: 22
Excluded characters: 3368

Characters missing from font file:
----------------------------------------
ID: 21892	Hex: 5584	Char [善]
ID: 20840	Hex: 5168	Char [全]
ID: 22092	Hex: 564C	Char [噌]
ID: 22609	Hex: 5851	Char [塑]
ID: 23720	Hex: 5CA8	Char [岨]
ID: 26366	Hex: 66FE	Char [曾]
ID: 36104	Hex: 8D08	Char [贈]
ID: 21063	Hex: 5247	Char [則]
ID: 21363	Hex: 5373	Char [即]
ID: 28204	Hex: 6E2C	Char [測]
ID: 36275	Hex: 8DB3	Char [足]
ID: 23646	Hex: 5C5E	Char [属]
ID: 21330	Hex: 5352	Char [卒]
ID: 20854	Hex: 5176	Char [其]
ID: 22810	Hex: 591A	Char [多]
ID: 21481	Hex: 53E9	Char [叩]
ID: 24061	Hex: 5DFD	Char [巽]
ID: 36799	Hex: 8FBF	Char [辿]
ID: 26842	Hex: 68DA	Char [棚]
ID: 35895	Hex: 8C37	Char [谷]
ID: 29432	Hex: 72F8	Char [狸]
ID: 40008	Hex: 9C48	Char [鱈]
ID: 20025	Hex: 4E39	Char [丹]
ID: 21336	Hex: 5358	Char [単]
ID: 22374	Hex: 5766	Char [坦]
ID: 25285	Hex: 62C5	Char [担]
ID: 26086	Hex: 65E6	Char [旦]
ID: 24086	Hex: 5E16	Char [帖]
ID: 24340	Hex: 5F14	Char [弔]
ID: 24373	Hex: 5F35	Char [張]
ID: 26274	Hex: 66A2	Char [暢]
ID: 26397	Hex: 671D	Char [朝]
ID: 28526	Hex: 6F6E	Char [潮]
ID: 30010	Hex: 753A	Char [町]
ID: 30522	Hex: 773A	Char [眺]
ID: 35519	Hex: 8ABF	Char [調]
ID: 38263	Hex: 9577	Char [長]
ID: 40165	Hex: 9CE5	Char [鳥]
ID: 30452	Hex: 76F4	Char [直]
ID: 37048	Hex: 90B8	Char [邸]
ID: 40718	Hex: 9F0E	Char [鼎]
ID: 27877	Hex: 6CE5	Char [泥]
ID: 28404	Hex: 6EF4	Char [滴]
ID: 30340	Hex: 7684	Char [的]
ID: 28346	Hex: 6EBA	Char [溺]
ID: 21746	Hex: 54F2	Char [哲]
ID: 22825	Hex: 5929	Char [天]
ID: 23637	Hex: 5C55	Char [展]
ID: 28155	Hex: 6DFB	Char [添]
ID: 33891	Hex: 8463	Char [董]
ID: 35910	Hex: 8C46	Char [豆]
ID: 36879	Hex: 900F	Char [透]
ID: 38360	Hex: 95D8	Char [闘]
ID: 21205	Hex: 52D5	Char [動]
ID: 21516	Hex: 540C	Char [同]
ID: 22530	Hex: 5802	Char [堂]
ID: 27934	Hex: 6D1E	Char [洞]
ID: 30643	Hex: 77B3	Char [瞳]
ID: 31461	Hex: 7AE5	Char [童]
ID: 33012	Hex: 80F4	Char [胴]
ID: 37509	Hex: 9285	Char [銅]
ID: 23776	Hex: 5CE0	Char [峠]
ID: 21311	Hex: 533F	Char [匿]
ID: 22914	Hex: 5982	Char [如]
ID: 23615	Hex: 5C3F	Char [尿]
ID: 38894	Hex: 97EE	Char [韮]
ID: 28641	Hex: 6FE1	Char [濡]
ID: 31152	Hex: 79B0	Char [禰]
ID: 23527	Hex: 5BE7	Char [寧]
ID: 20035	Hex: 4E43	Char [乃]
ID: 24316	Hex: 5EFC	Char [廼]
ID: 20989	Hex: 51FD	Char [函]
ID: 31665	Hex: 7BB1	Char [箱]
ID: 30834	Hex: 7872	Char [硲]
ID: 31560	Hex: 7B48	Char [筈]
ID: 24161	Hex: 5E61	Char [幡]
ID: 32908	Hex: 808C	Char [肌]
ID: 30033	Hex: 7551	Char [畑]
ID: 30048	Hex: 7560	Char [畠]
ID: 32624	Hex: 7F70	Char [罰]
ID: 38309	Hex: 95A5	Char [閥]
ID: 22138	Hex: 567A	Char [噺]
ID: 21322	Hex: 534A	Char [半]
ID: 21453	Hex: 53CD	Char [反]
ID: 21305	Hex: 5339	Char [匹]
ID: 30091	Hex: 758B	Char [疋]
ID: 24380	Hex: 5F3C	Char [弼]
ID: 30050	Hex: 7562	Char [畢]
ID: 31558	Hex: 7B46	Char [筆]
ID: 36924	Hex: 903C	Char [逼]
ID: 30334	Hex: 767E	Char [百]
ID: 35628	Hex: 8B2C	Char [謬]
ID: 24426	Hex: 5F6A	Char [彪]
ID: 28418	Hex: 6F02	Char [漂]
ID: 31080	Hex: 7968	Char [票]
ID: 35413	Hex: 8A55	Char [評]
ID: 35206	Hex: 8986	Char [覆]
ID: 28149	Hex: 6DF5	Char [淵]
ID: 24343	Hex: 5F17	Char [弗]
ID: 29289	Hex: 7269	Char [物]
ID: 21563	Hex: 543B	Char [吻]
ID: 22132	Hex: 5674	Char [噴]
ID: 32862	Hex: 805E	Char [聞]
ID: 19993	Hex: 4E19	Char [丙]
ID: 20853	Hex: 5175	Char [兵]
ID: 24163	Hex: 5E63	Char [幣]
ID: 24179	Hex: 5E73	Char [平]
ID: 28921	Hex: 70F9	Char [烹]
ID: 33804	Hex: 840C	Char [萌]
ID: 35914	Hex: 8C4A	Char [豊]
ID: 20047	Hex: 4E4F	Char [乏]
ID: 20129	Hex: 4EA1	Char [亡]
ID: 21078	Hex: 5256	Char [剖]
ID: 25151	Hex: 623F	Char [房]
ID: 26292	Hex: 66B4	Char [暴]
ID: 26395	Hex: 671B	Char [望]
ID: 28459	Hex: 6F2B	Char [漫]
ID: 21619	Hex: 5473	Char [味]
ID: 24051	Hex: 5DF3	Char [巳]
ID: 23724	Hex: 5CAC	Char [岬]
ID: 34588	Hex: 871C	Char [蜜]
